customer_id,signup_date,country,age,acquisition_channel
C100268,2024-03-04,United Kingdom,34.0,Paid Search
C100269,2024-02-18,United Kingdom,73.0,Email
C100270,2023-07-26,united kingdom,,Paid Search
C100271,2023-01-16,United States,20.0,Paid Search
C100272,2023-04-17,France,50.0,Direct
C100273,2024-11-01,Germany,74.0,Paid Search
C100274,2023-10-20,Germany,22.0,Paid Social
C100275,2023-12-04,United Kingdom,66.0,Direct
C100276,2023-11-23,UK,65.0,Email
C100277,2024-07-01,United States,70.0,Direct
C100278,2023-02-15,United Kingdom,,Organic Search
C100279,2023-02-27,United Kingdom,32.0,Direct
C100280,2023-07-13,united kingdom,47.0,Paid Search
C100281,2023-12-07,United Kingdom,26.0,Paid Social
C100282,2024-04-14,United States,66.0,Paid Search
C100283,2023-12-10,Germany,55.0,Paid Social
C100284,2023-11-05,United Kingdom,45.0,Organic Search
C100285,2024-10-18,United States,47.0,Organic Search
C100286,2023-04-23,France,58.0,Direct
C100287,2024-02-05,Germany,47.0,Email
C100288,2024-01-15,France,65.0,Paid Social
C100289,2023-11-28,United States,70.0,Referral
C100290,2024-07-19,France,72.0,Paid Social
C100291,2023-07-06,United Kingdom,53.0,Paid Social
C100292,2024-10-29,UK,60.0,Paid Search
C100293,2023-08-21,United Kingdom,35.0,Referral
C100294,2024-01-17,United States,20.0,Direct
C100295,2023-12-31,United States,40.0,Email
C100296,2024-08-17,United Kingdom,67.0,Paid Search
C100297,2023-11-04,Germany,25.0,Organic Search
C100298,2023-07-19,united kingdom,49.0,Paid Social
C100299,2023-01-16,United Kingdom,28.0,Organic Search
C100300,2023-09-12,United Kingdom,42.0,Email
C100301,2024-08-01,United States,26.0,Referral
C100302,2023-01-07,united kingdom,59.0,Direct
C100303,2024-09-19,UK,,Paid Social
C100304,2024-01-15,United Kingdom,61.0,Organic Search
C100305,2023-04-09,Germany,58.0,Referral
C100306,2023-07-31,Spain,31.0,Paid Search
C100307,2024-01-23,United States,48.0,Paid Social
C100308,2023-08-09,Germany,23.0,Organic Search
C100309,2023-03-18,France,39.0,Paid Social
C100310,2024-04-11,Ireland,,Paid Social
C100311,2024-04-15,USA,56.0,Paid Social
C100312,2023-03-25,France,23.0,Paid Social
C100313,2023-07-16,Spain,64.0,Referral
C100314,2023-06-20,France,44.0,Paid Social
C100315,2024-04-06,United States,68.0,Paid Social
C100316,2024-05-26,United Kingdom,48.0,Organic Search
C100317,2024-05-23,United Kingdom,,Paid Search
C100318,2024-10-19,United States,57.0,Paid Social
C100319,2024-06-22,United States,64.0,Paid Social
C100320,2023-08-13,United States,26.0,Organic Search
C100321,2023-03-17,United States,47.0,Referral
C100322,2024-03-06,United States,19.0,Paid Search
C100323,2024-10-03,France,45.0,Organic Search
C100324,2024-11-13,United Kingdom,64.0,Organic Search
C100325,2023-06-11,United Kingdom,67.0,Organic Search
C100326,2023-06-15,France,34.0,Referral
C100327,2023-01-27,France,40.0,Paid Search
C100328,2023-04-09,Ireland,49.0,Paid Social
C100329,2024-01-24,France,40.0,Paid Social
C100330,2024-01-18,France,28.0,Direct
C100331,2023-09-17,united kingdom,35.0,Direct
C100332,2023-08-05,United States,41.0,Organic Search
C100333,2024-08-03,United Kingdom,47.0,Organic Search
C100334,2023-11-19,USA,70.0,Paid Social
C100335,2024-07-19,Spain,49.0,Direct
C100336,2024-11-05,UK,40.0,Referral
C100337,2023-08-10,United States,55.0,Referral
C100338,2023-05-22,united kingdom,62.0,Direct
C100339,2024-10-29,United Kingdom,42.0,Paid Social
C100340,2024-03-20,United Kingdom,45.0,Paid Social
C100341,2023-07-23,United Kingdom,30.0,Organic Search
C100342,2024-03-11,Spain,67.0,Paid Search
C100343,2023-12-27,United States,67.0,Email
C100344,2024-09-25,France,27.0,Paid Social
C100345,2023-06-29,Germany,37.0,Organic Search
C100346,2024-11-24,United Kingdom,33.0,Direct
C100347,2024-10-17,United Kingdom,70.0,Direct
C100348,2023-05-07,France,21.0,Referral
C100349,2023-04-26,United Kingdom,29.0,Organic Search
C100350,2024-01-09,Spain,35.0,Paid Search
C100351,2023-02-01,United Kingdom,49.0,Direct
C100352,2023-07-29,Germany,32.0,Referral
C100353,2023-11-01,France,48.0,Referral
C100354,2024-11-09,United Kingdom,60.0,Paid Search
C100355,2024-11-25,United Kingdom,65.0,Paid Search
C100356,2023-04-17,Ireland,23.0,Email
C100357,2024-09-16,United Kingdom,25.0,Paid Social
C100358,2023-03-05,United States,23.0,Paid Social
C100359,2024-06-08,United States,69.0,Direct
C100360,2024-08-14,United Kingdom,55.0,Referral
C100361,2024-09-15,Germany,48.0,Organic Search
C100362,2023-06-06,Germany,63.0,Organic Search
C100363,2024-09-17,UK,51.0,Paid Search
C100364,2023-03-23,France,31.0,Paid Search
C100365,2023-12-30,United Kingdom,47.0,Paid Search
C100366,2023-11-25,United Kingdom,58.0,Paid Social
C100367,2023-08-10,United States,20.0,Direct
C100368,2023-01-16,Ireland,52.0,Direct
C100369,2024-06-24,United Kingdom,46.0,Paid Social
C100370,2023-08-23,United Kingdom,21.0,Organic Search
C100371,2024-04-08,United States,33.0,Paid Search
C100372,2023-10-15,France,43.0,Organic Search
C100373,2023-09-19,United Kingdom,37.0,Email
C100374,2024-09-12,United States,34.0,Referral
C100375,2023-03-08,Germany,54.0,Referral
C100376,2024-05-30,UK,41.0,Paid Social
C100377,2024-06-06,United Kingdom,46.0,Direct
C100378,2023-09-23,United Kingdom,63.0,Organic Search
C100379,2023-07-03,United States,23.0,Direct
C100380,2023-01-04,United States,38.0,Organic Search
C100381,2024-10-17,France,22.0,Referral
C100382,2024-10-25,Germany,70.0,Direct
C100383,2023-06-18,Germany,28.0,Organic Search
C100384,2023-01-23,Ireland,64.0,Organic Search
C100385,2023-03-27,United States,28.0,Direct
C100386,2023-02-17,United States,36.0,Organic Search
C100387,2024-08-04,Spain,52.0,Organic Search
C100388,2024-09-16,United Kingdom,65.0,Email
C100389,2023-04-18,Germany,28.0,Paid Search
C100390,2024-06-06,Germany,30.0,Email
C100391,2023-05-06,United Kingdom,68.0,Paid Social
C100392,2023-09-15,United States,36.0,Paid Search
C100393,2024-02-24,United Kingdom,29.0,Email
C100394,2024-05-18,United Kingdom,60.0,Paid Social
C100395,2024-09-04,United States,23.0,Paid Social
C100396,2023-02-01,united kingdom,67.0,Paid Social
C100397,2023-05-18,France,67.0,Paid Social
C100398,2023-07-16,Spain,66.0,Referral
C100399,2023-08-06,France,34.0,Organic Search
C100400,2024-11-29,United Kingdom,24.0,Referral
C100401,2024-06-28,United Kingdom,42.0,Organic Search
C100402,2023-08-13,United Kingdom,37.0,Paid Social
C100403,2024-11-11,United Kingdom,72.0,Organic Search
C100404,2023-12-16,Spain,54.0,Email
C100405,2023-12-17,United States,,Direct
C100406,2023-10-31,United Kingdom,60.0,Paid Social
C100407,2023-04-11,France,58.0,Organic Search
C100408,2024-10-16,United States,24.0,Organic Search
C100409,2023-01-10,United Kingdom,21.0,Direct
C100410,2023-05-02,United Kingdom,20.0,Paid Social
C100411,2023-06-10,Germany,51.0,Direct
C100412,2023-07-15,France,29.0,Paid Social
C100413,2023-04-03,United Kingdom,74.0,Organic Search
C100414,2023-01-13,Spain,25.0,Direct
C100415,2024-04-19,France,71.0,Email
C100416,2024-11-09,France,56.0,Organic Search
C100417,2023-03-27,United Kingdom,24.0,Paid Search
C100418,2023-07-27,United Kingdom,21.0,Organic Search
C100419,2023-12-21,France,40.0,Paid Social
C100420,2024-10-11,united kingdom,,Paid Social
C100421,2024-04-30,USA,35.0,Email
C100422,2024-06-20,Germany,48.0,Direct
C100423,2024-02-11,United Kingdom,25.0,Organic Search
C100424,2023-10-19,France,25.0,Paid Search
C100425,2023-05-20,Spain,57.0,Referral
C100426,2024-08-28,Germany,74.0,Paid Search
C100427,2024-07-16,United States,33.0,Direct
C100428,2023-01-18,France,71.0,Paid Search
C100429,2024-05-15,United States,37.0,Referral
C100430,2023-03-01,Germany,37.0,Paid Social
C100431,2024-06-01,France,23.0,Paid Social
C100432,2024-08-01,Germany,42.0,Referral
C100433,2023-04-02,united kingdom,46.0,Paid Social
C100434,2023-10-31,United Kingdom,55.0,Direct
C100435,2023-03-28,United Kingdom,27.0,Organic Search
C100436,2024-02-02,United States,28.0,Direct
C100437,2024-10-11,United States,42.0,Organic Search
C100438,2023-02-26,USA,21.0,Paid Search
C100439,2023-10-06,United States,26.0,Organic Search
C100440,2024-11-12,France,53.0,Organic Search
C100441,2023-07-30,Spain,72.0,Direct
C100442,2023-04-03,United Kingdom,50.0,Direct
C100443,2023-12-09,Germany,26.0,Direct
C100444,2023-12-22,Germany,74.0,Paid Search
C100445,2024-04-09,United States,47.0,Paid Social
C100446,2023-08-08,United Kingdom,58.0,Direct
C100447,2024-10-30,France,29.0,Paid Social
C100448,2023-12-31,Ireland,50.0,Email
C100449,2023-07-20,Germany,,Paid Social
C100450,2024-11-03,Spain,53.0,Organic Search
C100451,2024-10-09,Ireland,29.0,Email
C100452,2023-12-16,UK,69.0,Direct
C100453,2023-01-18,Germany,21.0,Organic Search
C100454,2024-02-22,United States,55.0,Paid Search
C100455,2024-01-24,Ireland,25.0,Email
C100456,2023-04-14,United Kingdom,57.0,Organic Search
C100457,2024-03-19,United States,46.0,Referral
C100458,2024-08-11,France,73.0,Organic Search
C100459,2023-03-16,united kingdom,55.0,Organic Search
C100460,2024-05-21,France,,Referral
C100461,2023-04-09,United States,22.0,Organic Search
C100462,2024-06-08,Ireland,51.0,Organic Search
C100463,2023-10-21,France,43.0,Direct
C100464,2023-01-05,united kingdom,20.0,Organic Search
C100465,2024-11-07,Germany,51.0,Direct
C100466,2023-04-27,UK,29.0,Direct
C100467,2024-02-22,USA,31.0,Organic Search
C100468,2023-05-08,Germany,18.0,Email
C100469,2024-10-15,France,39.0,Organic Search
C100470,2024-05-31,United Kingdom,30.0,Referral
C100471,2024-07-17,United Kingdom,22.0,Organic Search
C100472,2023-10-30,Germany,42.0,Paid Search
C100473,2023-11-24,United States,30.0,Organic Search
C100474,2024-03-20,United States,25.0,Referral
C100475,2024-07-03,United Kingdom,44.0,Organic Search
C100476,2024-08-15,UK,21.0,Organic Search
C100477,2023-01-13,France,74.0,Email
C100478,2024-04-09,United Kingdom,44.0,Email
C100479,2023-03-18,United States,74.0,Paid Search
C100480,2023-07-21,Spain,68.0,Organic Search
C100481,2024-08-03,United Kingdom,73.0,Organic Search
C100482,2023-06-25,Germany,48.0,Paid Social
C100483,2024-07-11,United Kingdom,42.0,Paid Social
C100484,2023-11-21,France,59.0,Paid Search
C100485,2023-06-12,Germany,22.0,Paid Search
C100486,2023-08-22,France,65.0,Paid Search
C100487,2024-01-07,United Kingdom,36.0,Organic Search
C100488,2024-06-19,United States,18.0,Paid Social
C100489,2024-02-29,Germany,31.0,Direct
C100490,2024-10-15,United Kingdom,31.0,Paid Social
C100491,2024-08-30,United Kingdom,18.0,Referral
C100492,2024-06-11,United Kingdom,56.0,Organic Search
C100493,2024-02-27,Spain,23.0,Paid Social
C100494,2023-07-22,Germany,,Paid Search
C100495,2023-10-16,Germany,43.0,Paid Social
C100496,2023-03-25,Germany,58.0,Paid Search
C100497,2023-09-19,United States,37.0,Paid Social
C100498,2024-10-10,United States,25.0,Organic Search
C100499,2023-10-26,United States,28.0,Paid Social
C100500,2023-03-21,Germany,54.0,Organic Search
C100501,2024-04-01,United Kingdom,58.0,Email
C100502,2024-11-04,France,33.0,Organic Search
C100503,2024-08-30,France,38.0,Referral
C100504,2023-07-11,UK,71.0,Paid Search
C100505,2023-11-14,United States,66.0,Paid Social
C100506,2024-01-07,United Kingdom,41.0,Organic Search
C100507,2023-06-23,Ireland,31.0,Paid Social
C100508,2023-07-08,Spain,35.0,Direct
C100509,2023-06-15,Spain,48.0,Email
C100510,2024-11-27,UK,50.0,Organic Search
C100511,2024-06-06,United Kingdom,28.0,Email
C100512,2024-08-11,United Kingdom,21.0,Email
C100513,2024-07-25,United Kingdom,46.0,Paid Social
C100514,2024-11-02,United Kingdom,63.0,Organic Search
C100515,2023-03-15,United Kingdom,26.0,Paid Search
C100516,2024-09-09,Ireland,41.0,Organic Search
C100517,2023-02-16,United Kingdom,27.0,Organic Search
C100518,2023-11-29,United Kingdom,31.0,Organic Search
C100519,2024-02-21,France,52.0,Email
C100520,2023-09-08,USA,34.0,Paid Social
C100521,2023-04-13,Germany,,Organic Search
C100522,2023-05-15,Germany,74.0,Paid Social
C100523,2024-07-31,France,27.0,Referral
C100524,2023-08-12,Germany,28.0,Paid Social
C100525,2023-08-06,United States,70.0,Paid Search
C100526,2024-10-08,Germany,49.0,Paid Social
C100527,2023-04-11,United States,20.0,Organic Search
C100528,2024-10-02,UK,,Paid Search
C100529,2024-10-06,United States,50.0,Direct
C100530,2024-02-23,United Kingdom,32.0,Paid Social
C100531,2023-04-26,France,49.0,Direct
C100532,2023-04-20,United Kingdom,54.0,Email
C100533,2023-07-19,United Kingdom,32.0,Paid Social
C100534,2024-02-09,United Kingdom,64.0,Direct
C100535,2023-04-18,France,43.0,Direct
C100536,2023-11-15,UK,72.0,Paid Social
C100537,2023-03-22,Germany,23.0,Referral
C100538,2024-01-14,France,36.0,Paid Social
C100539,2023-01-15,United Kingdom,59.0,Organic Search
C100540,2024-05-11,Germany,69.0,Paid Search
C100541,2023-02-08,united kingdom,30.0,Email
C100542,2023-05-17,United Kingdom,73.0,Email
C100543,2023-05-03,Germany,29.0,Email
C100544,2024-08-04,Spain,41.0,Email
C100545,2023-02-07,united kingdom,35.0,Paid Social
C100546,2023-10-28,United States,42.0,Paid Search
C100547,2024-02-18,united kingdom,69.0,Referral
C100548,2023-12-28,United States,59.0,Referral
C100549,2024-04-21,USA,63.0,Email
C100550,2024-07-16,USA,,Paid Social
C100551,2023-10-03,USA,71.0,Organic Search
C100552,2024-08-02,United Kingdom,42.0,Paid Social
C100553,2023-08-11,Germany,55.0,Organic Search
C100554,2024-11-20,Germany,57.0,Referral
C100555,2023-12-20,Germany,55.0,Paid Search
C100556,2024-05-30,United Kingdom,52.0,Paid Social
C100557,2024-09-04,United States,45.0,Paid Social
C100558,2024-07-08,United States,54.0,Referral
C100559,2024-08-18,United Kingdom,,Organic Search
C100560,2024-01-11,United Kingdom,40.0,Paid Search
C100561,2023-01-31,United States,47.0,Paid Social
C100562,2023-12-12,Germany,28.0,Organic Search
C100563,2023-05-08,United Kingdom,38.0,Organic Search
C100564,2024-09-14,France,62.0,Paid Search
C100565,2023-06-15,United States,54.0,Organic Search
C100566,2023-06-09,Germany,30.0,Referral
C100567,2023-06-24,United States,49.0,Organic Search
C100568,2024-03-25,United States,64.0,Organic Search
C100569,2024-02-04,USA,25.0,Paid Search
C100570,2024-10-26,Spain,21.0,Organic Search
C100571,2023-10-19,United States,40.0,Organic Search
