customer_id,signup_date,plan,acquisition_channel,mrr,avg_logins_per_month,support_tickets_opened,nps_score,churn_date,is_churned
S200592,2024-05-27,Basic,Sales-led,31.04,6.3,0,33.0,2024-06-27,True
S201700,2023-12-11,Basic,Sales-led,29.12,9.9,1,17.0,,False
S201234,2023-02-04,Basic,Content/SEO,27.21,8.5,2,,,False
S200057,2023-04-04,Pro,Content/SEO,105.1,8.1,1,28.0,2023-05-04,True
S202904,2023-09-27,Basic,Paid Ads,28.53,2.4,1,,2023-10-27,True
S200334,2024-05-07,Pro,Referral,93.0,13.2,1,39.0,,False
S201107,2022-09-25,Basic,Paid Ads,30.6,4.6,0,8.0,2023-06-25,True
S202593,2023-01-11,Basic,Paid Ads,26.85,4.4,1,61.0,,False
S202294,2022-06-24,Basic,Sales-led,28.46,11.4,0,53.0,,False
S202608,2024-05-18,Basic,Paid Ads,27.75,13.9,0,13.0,,False
S201656,2024-10-21,Pro,Content/SEO,90.77,5.3,2,37.0,,False
S202247,2022-01-11,Pro,Organic,97.19,1.5,0,19.0,,False
S202202,2022-11-08,Basic,Content/SEO,27.41,2.3,1,,2024-04-08,True
S202201,2024-06-30,Basic,Organic,27.76,10.8,3,54.0,,False
S200697,2023-11-26,Basic,Organic,26.36,12.2,2,-35.0,,False
S200584,2022-09-15,Pro,Sales-led,98.27,4.8,1,43.0,,False
S200388,2024-04-07,Basic,Organic,28.46,1.7,0,54.0,,False
S202256,2024-10-06,Pro,Organic,92.55,15.1,0,47.0,,False
S202035,2024-01-25,Pro,Paid Ads,94.58,3.6,1,13.0,,False
S201915,2023-08-16,Pro,Organic,91.5,11.4,1,,2024-06-16,True
S200661,2024-04-07,Enterprise,Organic,493.25,7.6,1,64.0,,False
S200226,2022-11-25,Basic,Sales-led,29.62,6.7,1,44.0,,False
S202491,2024-06-01,Pro,Organic,101.63,1.1,0,33.0,2024-10-01,True
S200472,2022-02-06,Pro,Paid Ads,104.82,6.4,2,29.0,2023-07-06,True
S202919,2022-06-05,Basic,Organic,27.89,25.5,1,55.0,2023-11-05,True
S201710,2022-03-17,Enterprise,Organic,512.9,20.2,1,,2022-09-17,True
S202815,2022-03-12,Basic,Organic,29.71,2.6,1,,2024-03-12,True
S200087,2024-01-28,Pro,Sales-led,91.57,5.4,0,,,False
S201523,2023-02-06,Basic,Organic,27.02,1.8,2,52.0,2024-05-06,True
S202520,2022-10-14,Basic,Paid Ads,29.03,0.4,1,24.0,2023-01-14,True
S200867,2023-05-17,Basic,Paid Ads,28.42,24.5,1,24.0,2024-09-17,True
S202264,2023-06-04,Basic,Paid Ads,30.3,13.7,1,30.0,2024-05-04,True
S202287,2024-09-27,Basic,Organic,27.57,10.8,3,,,False
S201038,2022-06-10,Enterprise,Content/SEO,523.04,5.0,1,15.0,2023-05-10,True
S201041,2024-10-20,Pro,Organic,98.08,2.0,2,,,False
S202569,2023-03-23,Basic,Organic,30.15,11.5,1,30.0,2024-05-23,True
S201647,2023-04-14,Basic,Referral,30.67,8.1,1,27.0,,False
S202770,2022-07-17,Basic,Sales-led,30.85,7.7,2,32.0,,False
S200069,2023-08-12,Pro,Referral,102.14,2.0,0,27.0,2023-10-12,True
S202055,2024-05-13,Basic,Sales-led,30.85,5.6,2,13.0,,False
S201155,2022-02-18,Enterprise,Organic,548.82,2.5,3,50.0,2023-02-18,True
S201807,2023-10-09,Pro,Referral,104.14,18.4,2,,2024-01-09,True
S202228,2024-01-29,Basic,Paid Ads,30.36,12.7,0,,,False
S202040,2022-08-30,Basic,Sales-led,30.55,5.8,1,25.0,,False
S200236,2022-11-07,Basic,Sales-led,31.13,2.3,1,40.0,2023-02-07,True
S201489,2022-02-21,Basic,Organic,30.43,8.5,3,6.0,2022-03-21,True
S200558,2022-07-15,Basic,Content/SEO,31.22,2.6,0,,2022-10-15,True
S200912,2022-11-02,Enterprise,Content/SEO,514.0,5.4,1,52.0,,False
S202927,2023-10-28,Pro,Organic,101.88,6.9,0,64.0,,False
S202714,2024-09-13,Pro,Paid Ads,89.2,13.1,1,79.0,,False
S202093,2024-10-04,Basic,Content/SEO,28.66,0.2,1,53.0,,False
S200209,2024-03-07,Pro,Organic,106.23,11.3,3,24.0,,False
S200210,2024-09-24,Basic,Organic,30.9,3.8,0,1.0,,False
S201972,2024-09-17,Enterprise,Organic,522.89,2.9,2,54.0,,False
S200911,2023-01-29,Basic,Paid Ads,26.21,6.3,0,,2023-03-29,True
S201047,2023-05-13,Enterprise,Organic,474.37,8.4,2,33.0,,False
S202043,2023-01-07,Basic,Sales-led,28.49,9.2,1,22.0,2023-03-07,True
S201791,2023-10-05,Basic,Referral,31.35,12.0,0,25.0,,False
S200439,2024-03-05,Basic,Organic,26.69,15.3,0,,,False
S200377,2023-10-11,Basic,Paid Ads,27.45,10.1,1,11.0,,False
S202988,2024-07-12,Pro,Paid Ads,91.3,11.8,3,77.0,2024-10-12,True
S202868,2024-10-23,Pro,Content/SEO,105.97,5.3,0,52.0,,False
S200719,2024-06-09,Pro,Paid Ads,107.39,12.7,2,7.0,,False
S201506,2023-03-06,Pro,Referral,94.99,7.2,0,39.0,2023-08-06,True
S201919,2024-08-02,Basic,Content/SEO,29.11,8.6,2,37.0,,False
S201790,2024-08-12,Basic,Paid Ads,29.87,11.3,0,31.0,,False
S200443,2023-06-18,Pro,Paid Ads,103.34,21.9,0,58.0,2024-09-18,True
S200481,2024-02-11,Pro,Organic,94.27,10.0,2,,,False
S201373,2024-11-07,Basic,Sales-led,27.78,8.3,0,66.0,,False
S201227,2023-12-01,Enterprise,Referral,472.34,8.6,0,38.0,,False
S201615,2024-10-18,Basic,Sales-led,26.54,10.8,0,36.0,,False
S201529,2022-03-19,Basic,Organic,28.53,7.4,1,,,False
S200850,2023-01-30,Basic,Content/SEO,26.55,26.9,1,35.0,,False
S200890,2022-02-04,Pro,Content/SEO,106.25,4.0,0,33.0,2023-05-04,True
S200891,2022-04-24,Enterprise,Referral,522.11,10.8,1,48.0,2023-02-24,True
S202512,2024-07-26,Basic,Referral,27.29,1.9,1,51.0,2024-08-26,True
S201852,2024-11-24,Pro,Organic,97.77,13.5,0,80.0,,False
S201736,2024-02-27,Pro,Organic,92.48,2.1,3,17.0,,False
S202453,2023-12-25,Pro,Organic,96.23,20.9,1,54.0,2024-11-25,True
S201036,2023-11-06,Basic,Organic,29.6,18.9,2,23.0,,False
S202688,2024-07-23,Basic,Content/SEO,28.93,4.9,1,,,False
S202713,2022-04-03,Basic,Sales-led,26.63,2.9,0,61.0,2023-07-03,True
S201645,2022-03-21,Enterprise,Paid Ads,543.93,4.4,1,27.0,,False
S202157,2024-03-31,Pro,Paid Ads,95.57,1.5,2,45.0,,False
S200164,2023-01-13,Basic,Paid Ads,28.18,0.9,1,50.0,2024-02-13,True
S201675,2022-03-25,Basic,Referral,26.87,12.8,0,30.0,,False
S201424,2024-09-19,Basic,Referral,30.15,5.7,0,41.0,,False
S200347,2023-05-26,Basic,Sales-led,30.5,9.9,0,44.0,2023-07-26,True
S202125,2024-06-18,Enterprise,Referral,520.2,9.2,1,20.0,,False
S200175,2024-08-30,Basic,Content/SEO,28.83,15.1,1,21.0,2024-10-30,True
S202488,2023-02-11,Basic,Referral,28.84,8.1,1,22.0,2023-05-11,True
S201734,2023-12-26,Pro,Paid Ads,93.1,1.9,1,,2024-09-26,True
S202477,2022-07-18,Basic,Content/SEO,30.9,3.2,2,48.0,,False
S202302,2024-10-10,Basic,Paid Ads,27.89,13.8,3,9.0,,False
S202370,2022-12-22,Basic,Referral,31.89,8.9,2,100.0,2023-11-22,True
S202546,2022-01-06,Enterprise,Paid Ads,505.67,1.5,1,47.0,2023-11-06,True
S201281,2022-08-18,Basic,Referral,30.75,23.3,1,,,False
S200409,2022-03-26,Pro,Paid Ads,97.01,9.7,0,45.0,2022-06-26,True
S200003,2023-10-08,Pro,Organic,102.81,4.0,3,,,False
S201797,2022-01-12,Pro,Organic,96.64,9.8,0,-7.0,2023-01-12,True
S200660,2023-12-01,Pro,Paid Ads,100.86,9.1,0,-7.0,,False
S201119,2023-08-25,Pro,Content/SEO,89.95,7.2,1,44.0,2024-02-25,True
S202619,2022-11-15,Pro,Paid Ads,99.97,4.8,0,29.0,,False
S200671,2022-06-20,Pro,Sales-led,96.96,6.5,0,,2024-11-20,True
S200269,2024-01-16,Basic,Content/SEO,30.91,7.6,2,31.0,,False
S202695,2023-02-05,Pro,Paid Ads,97.14,4.4,1,31.0,2023-07-05,True
S201476,2022-04-07,Basic,Content/SEO,28.33,20.2,0,39.0,2024-09-07,True
S202012,2022-05-19,Basic,Sales-led,31.68,5.2,4,45.0,2023-04-19,True
S202440,2023-09-26,Basic,Organic,30.55,2.4,1,,2023-10-26,True
S200899,2023-01-27,Pro,Referral,89.35,2.8,1,32.0,2023-11-27,True
S202930,2022-09-17,Basic,Paid Ads,31.05,11.1,3,34.0,2023-11-17,True
S200025,2024-11-23,Basic,Content/SEO,26.22,24.2,2,39.0,,False
S202626,2022-02-07,Pro,Sales-led,105.89,10.3,1,29.0,,False
S200312,2024-02-27,Basic,Content/SEO,27.91,11.4,1,15.0,,False
S202030,2024-10-20,Basic,Organic,29.75,3.5,0,73.0,,False
S201665,2024-10-02,Pro,Paid Ads,89.65,4.7,1,-0.0,,False
S201123,2022-01-21,Basic,Referral,29.78,3.9,2,18.0,,False
S200160,2024-06-28,Basic,Paid Ads,31.6,5.7,0,34.0,,False
S202222,2023-07-29,Basic,Paid Ads,31.86,4.6,0,46.0,,False
S202315,2023-03-24,Basic,Organic,28.28,12.4,2,89.0,,False
S200763,2023-12-16,Basic,Referral,29.23,8.0,0,90.0,,False
S201435,2024-09-26,Basic,Content/SEO,31.59,20.9,1,,,False
S202740,2022-06-19,Basic,Organic,30.92,6.9,0,24.0,,False
S202434,2024-08-12,Enterprise,Organic,543.53,7.1,3,,2024-09-12,True
S201604,2022-08-06,Pro,Organic,94.64,1.7,1,,,False
S201412,2022-10-21,Basic,Organic,27.85,4.3,2,50.0,2023-12-21,True
S201070,2023-06-24,Basic,Paid Ads,28.34,11.5,1,23.0,,False
S202159,2023-02-28,Pro,Referral,97.69,9.4,0,12.0,,False
S200318,2022-11-05,Basic,Paid Ads,29.67,11.0,0,,2024-09-05,True
S201860,2024-04-30,Pro,Organic,96.66,2.9,3,54.0,2024-07-30,True
S202078,2022-07-13,Basic,Referral,28.45,9.8,1,38.0,2022-10-13,True
S201735,2023-09-12,Pro,Paid Ads,100.69,0.8,1,36.0,,False
S200398,2023-12-03,Basic,Organic,28.06,15.4,1,40.0,,False
S200022,2024-03-16,Pro,Organic,97.63,6.5,0,37.0,,False
S201199,2023-03-20,Pro,Organic,105.54,5.1,0,6.0,,False
S200371,2024-01-24,Basic,Organic,30.16,5.7,4,17.0,2024-04-24,True
S200586,2023-12-16,Basic,Sales-led,31.71,19.2,1,,,False
S201588,2022-07-20,Basic,Paid Ads,28.49,6.6,0,56.0,,False
S201522,2022-11-17,Pro,Paid Ads,93.22,21.2,1,-35.0,2023-04-17,True
S200202,2023-02-07,Basic,Paid Ads,31.51,6.6,2,13.0,2023-12-07,True
S202296,2023-06-20,Pro,Referral,99.53,8.4,2,30.0,,False
S201916,2022-09-20,Enterprise,Paid Ads,456.82,4.1,1,,,False
S202036,2024-09-28,Basic,Content/SEO,28.75,3.4,1,,,False
S202692,2024-02-24,Pro,Paid Ads,107.49,1.5,0,58.0,2024-05-24,True
S201055,2024-10-18,Pro,Content/SEO,91.2,14.0,2,19.0,,False
S201671,2023-12-21,Pro,Paid Ads,107.92,2.6,1,,2024-03-21,True
S202172,2022-04-10,Enterprise,Organic,512.07,2.9,1,32.0,2022-08-10,True
S200459,2024-04-23,Basic,Content/SEO,29.94,4.1,2,90.0,2024-12-23,True
S200499,2024-09-23,Pro,Paid Ads,103.24,5.6,1,,,False
S201572,2022-06-06,Basic,Organic,30.24,15.6,2,36.0,,False
S200072,2024-09-29,Pro,Sales-led,93.3,8.1,0,,,False
S200805,2024-10-25,Pro,Organic,102.92,4.4,0,-3.0,,False
S202603,2022-03-15,Basic,Content/SEO,30.31,5.2,3,61.0,2022-07-15,True
S202378,2022-10-07,Basic,Paid Ads,31.35,11.0,1,,,False
S201644,2023-12-06,Basic,Content/SEO,31.0,12.3,2,,,False
S200346,2024-01-07,Enterprise,Organic,504.63,21.8,2,,,False
S200273,2023-02-03,Pro,Sales-led,95.25,15.5,2,,2023-12-03,True
S200422,2024-08-20,Pro,Content/SEO,91.37,8.8,2,91.0,,False
S201439,2023-01-10,Basic,Sales-led,30.5,11.1,3,36.0,2023-03-10,True
S202788,2024-10-05,Basic,Referral,29.99,2.8,3,64.0,,False
S200006,2023-01-02,Enterprise,Sales-led,493.15,2.4,0,,,False
S202611,2024-08-31,Basic,Organic,30.75,2.4,0,23.0,,False
S201459,2022-11-09,Pro,Paid Ads,97.03,13.1,0,,2024-11-09,True
S201331,2022-01-31,Basic,Content/SEO,28.37,0.8,3,71.0,2023-05-31,True
S201120,2022-04-19,Basic,Sales-led,27.49,11.2,1,,,False
S201948,2023-10-26,Pro,Content/SEO,89.32,10.4,1,38.0,,False
S201622,2022-07-23,Pro,Organic,91.19,12.0,3,5.0,2022-11-23,True
S200000,2022-11-18,Basic,Organic,26.24,21.2,3,45.0,2024-04-18,True
S201673,2024-11-24,Pro,Referral,92.09,9.2,0,57.0,,False
S200322,2022-06-11,Basic,Content/SEO,26.74,19.1,2,26.0,,False
S202909,2023-07-24,Basic,Paid Ads,26.83,11.0,0,9.0,,False
S201532,2022-06-10,Pro,Organic,92.08,15.2,2,6.0,2023-05-10,True
S202291,2024-09-18,Basic,Content/SEO,31.59,2.4,1,17.0,,False
S201208,2023-05-27,Pro,Paid Ads,97.41,9.9,2,1.0,,False
S200370,2022-08-26,Basic,Content/SEO,29.52,4.6,1,51.0,,False
S201549,2023-01-09,Pro,Organic,102.81,15.5,2,,,False
S200838,2024-02-25,Pro,Organic,97.86,9.9,0,37.0,,False
S200630,2024-01-23,Pro,Sales-led,91.5,18.4,3,,,False
S202080,2022-02-09,Pro,Organic,102.61,9.0,0,3.0,,False
S202509,2023-07-06,Pro,Paid Ads,89.85,17.8,1,52.0,,False
S201507,2022-08-31,Pro,Referral,90.68,7.3,0,28.0,,False
S200824,2023-09-01,Pro,Organic,107.78,8.1,3,30.0,,False
S202173,2022-12-14,Pro,Sales-led,103.89,22.1,0,87.0,,False
S202565,2022-03-21,Pro,Paid Ads,104.29,2.5,1,55.0,2023-12-21,True
S202827,2023-02-17,Basic,Organic,28.04,30.7,1,22.0,,False
S200529,2023-01-22,Basic,Paid Ads,30.99,8.9,2,55.0,2024-11-22,True
S201745,2022-09-30,Basic,Referral,31.78,10.8,1,44.0,2024-03-30,True
S201031,2023-10-11,Basic,Referral,27.52,4.0,2,-18.0,2024-03-11,True
S200246,2024-01-02,Pro,Organic,96.97,12.2,1,37.0,2024-09-02,True
S200403,2022-09-05,Basic,Paid Ads,26.59,14.4,1,,2023-06-05,True
S202701,2023-01-02,Pro,Referral,101.14,3.7,2,31.0,,False
S202340,2023-01-23,Pro,Paid Ads,105.57,16.2,0,31.0,,False
S200981,2023-07-19,Pro,Organic,103.3,4.4,1,23.0,2024-02-19,True
S200563,2022-11-25,Pro,Organic,104.31,5.6,4,,2023-06-25,True
S201776,2022-02-18,Enterprise,Content/SEO,472.47,5.8,0,,,False
S201833,2024-01-17,Pro,Referral,102.73,7.8,1,,2024-04-17,True
S200729,2024-09-12,Pro,Referral,92.19,5.9,1,75.0,,False
S202681,2022-05-17,Basic,Paid Ads,29.16,3.9,3,19.0,2022-11-17,True
S200626,2022-05-11,Basic,Paid Ads,28.96,7.9,0,61.0,,False
S200914,2024-06-16,Basic,Content/SEO,29.29,1.8,1,37.0,,False
S201901,2024-02-22,Basic,Sales-led,31.39,2.3,0,27.0,,False
S200120,2022-11-28,Pro,Paid Ads,91.35,1.6,0,,,False
S201543,2023-01-28,Basic,Paid Ads,26.6,5.6,2,34.0,2023-06-28,True
S200536,2023-02-07,Basic,Organic,27.56,12.1,0,30.0,,False
S202403,2022-02-07,Pro,Organic,99.09,9.6,1,29.0,2022-09-07,True
S201061,2023-01-05,Enterprise,Sales-led,454.65,11.0,0,40.0,,False
S201643,2024-09-11,Basic,Sales-led,30.1,1.2,1,29.0,,False
S200208,2022-02-17,Pro,Paid Ads,94.79,1.3,0,,2023-02-17,True
S202407,2023-07-29,Pro,Organic,105.53,17.6,4,37.0,2024-06-29,True
S201492,2022-05-24,Basic,Content/SEO,28.13,6.0,1,36.0,2023-12-24,True
S200126,2022-09-01,Pro,Organic,102.15,13.8,1,,2023-07-01,True
S201917,2024-11-30,Pro,Paid Ads,104.48,10.7,1,32.0,,False
S202344,2023-04-22,Pro,Paid Ads,106.37,2.8,1,30.0,2024-02-22,True
S202644,2022-10-05,Basic,Organic,31.32,5.5,1,,2023-10-05,True
S201361,2022-08-08,Basic,Organic,27.94,4.7,1,11.0,2024-03-08,True
S201769,2024-05-16,Basic,Paid Ads,30.76,2.7,1,6.0,,False
S201089,2023-07-12,Pro,Sales-led,99.56,5.8,1,,2024-09-12,True
S202106,2023-08-17,Pro,Referral,104.81,16.5,0,,2023-09-17,True
S202018,2024-02-11,Basic,Sales-led,30.08,5.4,1,42.0,,False
S202331,2023-07-19,Pro,Sales-led,92.87,21.6,0,,,False
S200768,2023-11-21,Enterprise,Paid Ads,534.93,1.8,2,65.0,,False
S202114,2023-11-13,Basic,Paid Ads,31.68,8.5,1,29.0,2024-04-13,True
S200124,2023-12-22,Basic,Referral,29.13,3.2,3,56.0,,False
S200216,2022-10-13,Enterprise,Sales-led,451.88,27.5,3,45.0,2024-11-13,True
S202763,2022-08-21,Basic,Content/SEO,29.08,13.9,2,61.0,,False
S200166,2023-08-10,Basic,Content/SEO,27.94,13.6,2,,2024-05-10,True
S201826,2022-07-19,Enterprise,Organic,471.07,22.6,1,,,False
S200228,2022-11-22,Pro,Paid Ads,104.21,4.9,0,,2023-08-22,True
S202848,2024-06-18,Pro,Organic,102.66,35.8,0,,,False
S201650,2023-09-17,Pro,Content/SEO,103.92,10.0,2,,,False
S202729,2022-06-07,Pro,Paid Ads,93.52,4.8,0,23.0,2023-01-07,True
S200328,2022-12-20,Basic,Organic,29.72,14.7,1,24.0,2024-07-20,True
S202895,2023-11-18,Basic,Referral,27.2,15.1,2,-2.0,2024-12-18,True
S201402,2022-04-16,Enterprise,Content/SEO,500.75,9.3,1,46.0,2024-08-16,True
S201623,2022-10-07,Enterprise,Content/SEO,459.72,9.8,1,36.0,,False
S202014,2023-09-13,Basic,Sales-led,29.81,4.9,1,4.0,,False
S200628,2023-05-05,Basic,Content/SEO,30.9,13.9,1,-4.0,,False
S202269,2022-05-28,Basic,Sales-led,27.65,10.8,0,51.0,,False
S201312,2022-09-04,Pro,Referral,94.45,6.7,3,77.0,2023-02-04,True
S202020,2022-07-06,Pro,Referral,89.31,8.0,0,,2023-11-06,True
S201955,2023-06-30,Basic,Paid Ads,31.75,12.7,0,43.0,2024-11-30,True
S200086,2022-01-28,Enterprise,Paid Ads,452.21,7.0,0,32.0,2022-11-28,True
S202120,2023-01-09,Basic,Referral,28.87,18.1,1,73.0,,False
S201300,2023-06-30,Basic,Paid Ads,30.57,2.5,2,25.0,2024-04-30,True
S202134,2022-07-07,Basic,Organic,28.77,3.0,2,28.0,,False
S202207,2023-10-01,Pro,Sales-led,92.52,0.9,1,,2023-12-01,True
S202262,2024-01-28,Pro,Sales-led,96.97,15.3,2,51.0,,False
S201277,2022-09-25,Basic,Content/SEO,30.75,1.1,1,-26.0,2023-04-25,True
S202158,2024-03-25,Enterprise,Referral,536.04,9.5,1,34.0,,False
S202699,2023-05-31,Basic,Referral,31.83,3.1,2,29.0,2023-09-30,True
S202651,2024-08-13,Pro,Content/SEO,97.7,5.7,1,62.0,,False
S201491,2023-07-21,Pro,Referral,90.65,18.9,1,100.0,2023-12-21,True
S201182,2024-02-06,Pro,Content/SEO,103.89,3.7,1,51.0,2024-08-06,True
S202498,2022-05-19,Pro,Referral,92.02,2.7,2,34.0,2023-01-19,True
S200602,2024-07-03,Basic,Paid Ads,30.25,6.0,2,,,False
S200695,2023-06-06,Enterprise,Referral,511.64,8.7,0,45.0,,False
S202038,2023-11-01,Basic,Referral,28.92,2.5,1,,2024-08-01,True
S200123,2024-07-28,Pro,Sales-led,100.72,8.0,0,,,False
S202834,2022-07-15,Pro,Paid Ads,91.99,4.1,1,2.0,,False
S200781,2023-07-19,Pro,Referral,100.84,1.5,2,78.0,,False
S200454,2022-11-06,Basic,Organic,26.29,20.7,0,37.0,,False
S202889,2023-06-05,Basic,Referral,30.04,2.9,0,15.0,,False
S201611,2022-07-30,Basic,Paid Ads,29.56,6.3,0,,2024-01-30,True
S202096,2022-05-11,Basic,Paid Ads,30.9,4.5,1,,2023-10-11,True
S200841,2023-08-22,Pro,Paid Ads,104.89,8.2,0,34.0,,False
S202343,2022-05-15,Basic,Referral,26.5,14.3,2,14.0,,False
S200392,2022-05-09,Pro,Organic,99.41,25.3,0,-2.0,2023-04-09,True
S200853,2024-03-20,Pro,Sales-led,104.68,12.9,0,64.0,,False
S202000,2023-08-20,Pro,Paid Ads,99.6,6.0,0,,,False
S200636,2023-09-04,Basic,Sales-led,27.45,4.7,1,,,False
S202856,2022-11-01,Basic,Paid Ads,31.79,5.2,1,,,False
S202928,2022-03-27,Basic,Paid Ads,26.22,1.7,3,60.0,2023-09-27,True
S202821,2022-10-27,Enterprise,Content/SEO,472.24,13.6,3,54.0,,False
S201253,2024-04-13,Basic,Paid Ads,30.02,17.4,0,57.0,,False
S202314,2024-11-23,Pro,Sales-led,103.3,1.3,0,30.0,,False
S200389,2023-07-09,Enterprise,Sales-led,456.66,3.0,1,61.0,2023-09-09,True
S201398,2022-07-25,Basic,Content/SEO,28.8,7.5,0,,2022-11-25,True
S202916,2023-05-26,Basic,Paid Ads,29.91,5.9,0,52.0,,False
S201728,2024-10-24,Pro,Paid Ads,94.35,17.7,0,29.0,,False
S201228,2024-09-29,Pro,Referral,96.89,12.7,3,,,False
S202535,2023-01-04,Basic,Organic,29.16,2.5,1,49.0,,False
S202855,2023-04-09,Basic,Sales-led,31.68,19.4,0,,,False
S201192,2023-01-26,Basic,Content/SEO,26.39,2.0,0,67.0,2024-12-26,True
S200933,2024-01-26,Basic,Referral,31.11,5.8,1,45.0,,False
S201540,2024-06-30,Pro,Paid Ads,98.42,9.0,1,11.0,2024-11-30,True
S201065,2023-08-05,Basic,Content/SEO,27.22,15.9,0,,,False
